"file","import_line"
"apps/web/scripts/seo-consistency-core.mjs","import { join } from 'node:path'"
"apps/web/scripts/seo-crawl-budget-core.mjs","import { normalizeRoutePath } from './seo-internal-links-core.mjs'"
"apps/web/scripts/seo-internal-links-core.mjs","import { relative } from 'node:path'"
"apps/web/scripts/seo-monitor-regression.mjs","import { mkdirSync, readFileSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/seo-monitor-regression.mjs","import { join } from 'node:path'"
"apps/web/scripts/seo-monitor-regression.mjs","import { fetchSitemapUrlsetUrls } from './sitemap-urlset-utils.mjs'"
"apps/web/scripts/seo-nightly.mjs","import { spawnSync } from 'node:child_process'"
"apps/web/scripts/seo-nightly.mjs","import { mkdirSync, readFileSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/seo-nightly.mjs","import { join } from 'node:path'"
"apps/web/scripts/seo-scaffold-core.mjs","import ts from 'typescript'"
"apps/web/scripts/seo-scaffold-core.mjs","import {"
"apps/web/scripts/seo-smoke.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/seo-smoke.mjs","import { join } from 'node:path'"
"apps/web/scripts/seo-smoke.mjs","import { fetchSitemapUrlsetUrls } from './sitemap-urlset-utils.mjs'"
"apps/web/scripts/seo-webmaster-loop.mjs","import { mkdirSync, readFileSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/seo-webmaster-loop.mjs","import { join } from 'node:path'"
"apps/web/scripts/seo-weekly-audit.mjs","import { spawnSync } from 'node:child_process'"
"apps/web/scripts/seo-weekly-audit.mjs","import { mkdirSync, readFileSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/seo-weekly-audit.mjs","import { join } from 'node:path'"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","import { execSync } from 'node:child_process'"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","import { existsSync, readFileSync } from 'node:fs'"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","import { join } from 'node:path'"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","import { scaffoldChecksForSource } from './seo-scaffold-core.mjs'"
"apps/web/scripts/ts-ast-utils.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-jsonld-coverage.mjs","import { readdirSync, readFileSync, statSync } from 'node:fs'"
"apps/web/scripts/verify-jsonld-coverage.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-jsonld-coverage.mjs","import { pageJsonLdCoverage, parseScaffoldSource } from './seo-scaffold-core.mjs'"
"apps/web/scripts/verify-route-chunk-budget.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/verify-route-chunk-budget.mjs","import { resolve } from 'node:path'"
"apps/web/scripts/verify-semantic-button-states.mjs","import { readdirSync, readFileSync, statSync } from 'node:fs'"
"apps/web/scripts/verify-semantic-button-states.mjs","import { join, relative } from 'node:path'"
"apps/web/scripts/verify-semantic-button-states.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-canonical-contract.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-canonical-contract.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-canonical-contract.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-consistency.mjs","import { existsSync, readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-consistency.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-consistency.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-consistency.mjs","import { extractRobotsDisallowLiterals, parseRobotsSource } from './robots-disallow-utils.mjs'"
"apps/web/scripts/verify-seo-consistency.mjs","import {"
"apps/web/scripts/verify-seo-contracts.mjs","import { readdirSync, readFileSync, statSync } from 'node:fs'"
"apps/web/scripts/verify-seo-contracts.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-contracts.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-contracts.mjs","import { hasExportedFunction, isExportedVariable, walk } from './ts-ast-utils.mjs'"
"apps/web/scripts/verify-seo-crawl-budget.mjs","import { readdirSync, readFileSync, statSync } from 'node:fs'"
"apps/web/scripts/verify-seo-crawl-budget.mjs","import { join, relative } from 'node:path'"
"apps/web/scripts/verify-seo-crawl-budget.mjs","import { parseRouteQueryKeys, toRouteDepths } from './seo-crawl-budget-core.mjs'"
"apps/web/scripts/verify-seo-crawl-budget.mjs","import {"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","import { walk } from './ts-ast-utils.mjs'"
"apps/web/scripts/verify-seo-infra.mjs","import { existsSync, readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-infra.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-infra.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-internal-links.mjs","import { readdirSync, readFileSync, statSync } from 'node:fs'"
"apps/web/scripts/verify-seo-internal-links.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-internal-links.mjs","import {"
"apps/web/scripts/verify-seo-noindex-robots.mjs","import { existsSync, readdirSync, readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-noindex-robots.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-noindex-robots.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-noindex-robots.mjs","import { extractRobotsDisallowLiterals, parseRobotsSource } from './robots-disallow-utils.mjs'"
"apps/web/scripts/verify-seo-programmatic-policy.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-programmatic-policy.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-report.mjs","import { spawnSync } from 'node:child_process'"
"apps/web/scripts/verify-seo-report.mjs","import { mkdirSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-report.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-scaffold-staged.mjs","import { execSync } from 'node:child_process'"
"apps/web/scripts/verify-seo-scaffold-staged.mjs","import { scaffoldChecksForSource } from './seo-scaffold-core.mjs'"
"apps/web/scripts/verify-seo-scaffold.mjs","import { readdirSync, readFileSync, statSync } from 'node:fs'"
"apps/web/scripts/verify-seo-scaffold.mjs","import { join, relative } from 'node:path'"
"apps/web/scripts/verify-seo-scaffold.mjs","import { scaffoldChecksForSource } from './seo-scaffold-core.mjs'"
"apps/web/scripts/verify-seo-schema-contract.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-schema-contract.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-schema-contract.mjs","import ts from 'typescript'"
"apps/web/scripts/verify-seo-schema-contract.mjs","import { walk } from './ts-ast-utils.mjs'"
"apps/web/scripts/verify-seo-sitemap-contract.mjs","import { readFileSync } from 'node:fs'"
"apps/web/scripts/verify-seo-sitemap-contract.mjs","import { join } from 'node:path'"
"apps/web/scripts/verify-seo-sitemap-contract.mjs","import {"
